1,in_use,,,Opcode,prependage,appendage,Specific,variant,comments,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,,31:30:29:28:27:26:25:24:23:22:21:20:19:18:17:16:15:14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,,Binary,,NAME,//		Opcode                                                          	BINARY    	OPCODE    	comments,//		BINARY    	Opcode    	Opcode	comments
20,//,,,HLT,,,,,,,1,1,0,1,0,1,0,0,0,1,0,imm16,,,,,,,,,,,,,,,,0,0,0,0,0,,-:-:-:-:-:-:-:-:-:-:-:imm16::::::::::::::::-:-:-:-:-,,0xD4400000,,"hlt,                                                    ","//		hlt,                                                    	/* 0xD4400000	HLT       	 */","//		0xD4400000,	/* HLT       	hlt	 */"
21,//,,,DCPS1,,,,,,,1,1,0,1,0,1,0,0,1,0,1,imm16,,,,,,,,,,,,,,,,0,0,0,0,1,,-:-:-:-:-:-:-:-:-:-:-:imm16::::::::::::::::-:-:-:-:-,,0xD4A00001,,"dcps1,                                                  ","//		dcps1,                                                  	/* 0xD4A00001	DCPS1     	 */","//		0xD4A00001,	/* DCPS1     	dcps1	 */"
22,//,,,DCPS2,,,,,,,1,1,0,1,0,1,0,0,1,0,1,imm16,,,,,,,,,,,,,,,,0,0,0,1,0,,-:-:-:-:-:-:-:-:-:-:-:imm16::::::::::::::::-:-:-:-:-,,0xD4A00002,,"dcps2,                                                  ","//		dcps2,                                                  	/* 0xD4A00002	DCPS2     	 */","//		0xD4A00002,	/* DCPS2     	dcps2	 */"
23,//,,,DCPS3,,,,,,,1,1,0,1,0,1,0,0,1,0,1,imm16,,,,,,,,,,,,,,,,0,0,0,1,1,,-:-:-:-:-:-:-:-:-:-:-:imm16::::::::::::::::-:-:-:-:-,,0xD4A00003,,"dcps3,                                                  ","//		dcps3,                                                  	/* 0xD4A00003	DCPS3     	 */","//		0xD4A00003,	/* DCPS3     	dcps3	 */"
35,,,Unconditional branch (register),,,,,,,,1,1,0,1,0,1,1,opc,,,,op2,,,,,op3,,,,,,Rn,,,,,op4,,,,,,,,,,,	/* Unconditional branch (register) */,	/* Unconditional branch (register) */
36,,,,BR,,,,,,,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,Rn,,,,,0,0,0,0,0,,-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:Rn:::::-:-:-:-:-,,0xD61F0000,,"br,                                                     ","		br,                                                     	/* 0xD61F0000	BR        	 */","		0xD61F0000,	/* BR        	br	 */"
37,,,,BLR,,,,,,,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,Rn,,,,,0,0,0,0,0,,-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:Rn:::::-:-:-:-:-,,0xD63F0000,,"blr,                                                    ","		blr,                                                    	/* 0xD63F0000	BLR       	 */","		0xD63F0000,	/* BLR       	blr	 */"
38,,,,RET,,,,,,,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,Rn,,,,,0,0,0,0,0,,-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:Rn:::::-:-:-:-:-,,0xD65F0000,,"ret,                                                    ","		ret,                                                    	/* 0xD65F0000	RET       	 */","		0xD65F0000,	/* RET       	ret	 */"
39,//,,,ERET,,,,,,,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,,-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-,,0xD69F03E0,,"eret,                                                   ","//		eret,                                                   	/* 0xD69F03E0	ERET      	 */","//		0xD69F03E0,	/* ERET      	eret	 */"
40,//,,,DRPS,,,,,,,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,,-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-,,0xD6BF03E0,,"drps,                                                   ","//		drps,                                                   	/* 0xD6BF03E0	DRPS      	 */","//		0xD6BF03E0,	/* DRPS      	drps	 */"
41,//,,Unconditional branch (immediate),,,,,,,,-,0,0,1,0,1,imm26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,	/* Unconditional branch (immediate) */,	/* Unconditional branch (immediate) */
42,,,,B,,,,,,,0,0,0,1,0,1,imm26,,,,,,,,,,,,,,,,,,,,,,,,,,,-:-:-:-:-:-:imm26:::::::::::::::::::::::::,,0x14000000,,"b,                                                      ","		b,                                                      	/* 0x14000000	B         	 */","		0x14000000,	/* B         	b	 */"
43,,,,BL,,,,,,,1,0,0,1,0,1,imm26,,,,,,,,,,,,,,,,,,,,,,,,,,,-:-:-:-:-:-:imm26:::::::::::::::::::::::::,,0x94000000,,"bl,                                                     ","		bl,                                                     	/* 0x94000000	BL        	 */","		0x94000000,	/* BL        	bl	 */"
44,,Loads and stores,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/* Loads and stores */,/* Loads and stores */
45,,,Load/store exclusive,,,,,,,,-,-,0,0,1,0,0,0,-,-,-,Rs,,,,,-,Rt2,,,,,Rn,,,,,Rt,,,,,,,,,,,	/* Load/store exclusive */,	/* Load/store exclusive */
46,,,,STXRB,,,,,,,0,0,0,0,1,0,0,0,0,0,0,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x08000000,,"stxrb,                                                  ","		stxrb,                                                  	/* 0x08000000	STXRB     	 */","		0x08000000,	/* STXRB     	stxrb	 */"
